,indexName,ClusterNo
0,0,0
1,1,9
2,2,57
3,3,59
4,4,62
5,5,66
6,6,69
7,7,129
8,8,235
9,9,243
10,10,244
11,11,248
12,12,250
13,13,335
14,14,341
15,15,354
16,16,597
17,17,4119
18,18,4311
19,19,4616
20,20,4710
21,21,4775
22,22,4872
23,23,6524
24,24,9926
25,25,9988
26,26,10004
27,27,10026
28,28,10115
29,29,10140
30,30,10155
31,31,10168
32,32,10181
33,33,10194
34,34,10219
35,35,10234
36,36,10249
37,37,10264
38,38,10279
39,39,10293
40,40,10307
41,41,10321
42,42,10335
43,43,10342
44,44,10394
45,45,10446
46,46,10470
47,47,10490
48,48,10508
49,49,10525
50,50,10545
51,51,14986
52,52,15005
53,53,15074
54,54,23441
55,55,23455
56,56,23469
57,57,26473
58,58,26495
59,59,26512
60,60,26533
61,61,26551
62,62,26656
63,63,26753
64,64,26824
65,65,26874
66,66,26887
67,67,26905
68,68,34760
69,69,52270
70,70,54052
71,71,54810
72,72,54993
73,73,55035
74,74,59234
75,75,59246
76,76,59295
77,77,62810
78,78,74511
79,79,74889
80,80,76635
81,81,83651
82,82,90249
83,83,90307
84,84,90419
85,85,90453
86,86,90513
87,87,90538
88,88,90559
89,89,90592
90,90,94364
91,91,103911
92,92,103974
93,93,103987
94,94,109655
95,95,109684
96,96,109705
97,97,113499
98,98,113544
99,99,113573
100,100,113595
101,101,113614
102,102,113657
103,103,125130
104,104,131215
105,105,131231
106,106,131244
107,107,134957
108,108,144728
109,109,146211
110,110,146273
111,111,150639
112,112,150809
113,113,150863
114,114,150901
115,115,151846
116,116,151876
117,117,151889
118,118,151904
119,119,151921
120,120,151935
121,121,151947
122,122,151958
123,123,151969
124,124,151979
125,125,152011
126,126,172489
127,127,195027
128,128,195044
129,129,195069
130,130,195099
131,131,195104
132,132,195119
133,133,195137
134,134,195153
135,135,199691
136,136,199813
137,137,219521
138,138,223084
139,139,225747
140,140,225781
141,141,233177
142,142,249727
143,143,278894
144,144,288857
145,145,331218
146,146,331451
147,147,341684
148,148,355616
149,149,355649
150,150,370908
151,151,391557
152,152,391572
153,153,391588
154,154,391836
155,155,473997
156,156,474055
157,157,481142
158,158,483260
159,159,519260
160,160,552024
161,161,570163
162,162,572089
163,163,572204
164,164,643420
165,165,644118
166,166,644629
167,167,644651
168,168,644691
169,169,644798
170,170,644835
171,171,644852
172,172,644868
173,173,653971
174,174,654118
175,175,654272
176,176,715618
177,177,875671
178,178,923557
179,179,923697
180,180,923808
181,181,924234
182,182,924349
183,183,956250
184,184,956357
185,185,956450
186,186,970199
187,187,973095
188,188,1126580
189,189,1152031
190,190,1173790
191,191,1176134
192,192,1176250
193,193,1176342
194,194,1176410
195,195,1278051
196,196,1278080
197,197,1313877
198,198,1329667
199,199,1350966
200,200,1410530
201,201,1438626
202,202,1467886
203,203,1499287
204,204,1532152
205,205,1532339
206,206,1533356
207,207,1559888
208,208,1559984
209,209,1560159
210,210,1588103
211,211,1604527
212,212,1638863
213,213,1666087
214,214,1725261
215,215,1749803
216,216,1778827
217,217,1798667
218,218,1821151
219,219,1823846
220,220,1843264
221,221,1904055
222,222,1974644
223,223,1974706
224,224,1974767
225,225,1974884
226,226,1974946
227,227,1975013
228,228,1975083
229,229,1975154
230,230,1975212
231,231,1975338
232,232,1975469
233,233,1975951
234,234,1998791
235,235,2148026
236,236,2156595
237,237,2156611
238,238,2156617
239,239,2171168
240,240,2171174
241,241,2171185
242,242,2173587
243,243,2191849
244,244,2207117
245,245,2230920
246,246,2430917
247,247,2590815
248,248,2605788
249,249,2629487
250,250,2629570
251,251,2683714
252,252,2683864
253,253,2755105
254,254,2760789
255,255,2809750
256,256,2878043
257,257,2923548
258,258,2923750
259,259,3071858
260,260,3102381
261,261,3136533
262,262,3173771
263,263,3173883
264,264,3240637
265,265,3262278
266,266,3467087
267,267,3542392
268,268,3542487
269,269,3542647
270,270,3613315
271,271,3669101
272,272,3759561
273,273,4274503
274,274,4565887
275,275,5079254
276,276,5125751
277,277,5750537
278,278,5762334
279,279,5762338
280,280,5766066
281,281,5945144
282,282,6844635
283,283,6879747
284,284,6900934
285,285,6900968
286,286,6934761
287,287,7054526
288,288,7372844
289,289,7463011
290,290,7807266
291,291,7816148
292,292,8254389
293,293,8340700
294,294,8893777
295,295,8957076
296,296,8957131
297,297,9730646
298,298,9780552
299,299,9854529
300,300,10231653
301,301,12338763
302,302,12363273
303,303,12919018
304,304,13914809
305,305,14190761
306,306,14233888
307,307,15325365
308,308,15325405
309,309,15747016
310,310,15747035
311,311,16067160
