,0,200,400,600,800,1000
0,0.6486027481858885,0.6746683232018459,0.521663659411187,0.4838177117403358,0.5176721788115574,0.5323120267652756
50,0.1719932067315115,0.16723610063451214,0.24025306625859352,0.2787901442232813,0.2211520988551699,0.23595703468920584
100,0.0751376666152025,0.09420064782357901,0.13868396409565356,0.1664018939039965,0.18757950208976923,0.16745905969360803
150,0.08146775770675724,0.04898611172738164,0.07898042619281456,0.04466872254929446,0.043339996365618756,0.032047895756295124
200,0.006433019401986516,0.006045613879398322,0.0074458123015782385,0.011276204716070149,0.010539705615119027,0.011093502377179081
250,0.0036539550203283414,0.0014087944269423613,0.0020555923531964462,0.001682085786375105,0.0026803561693621663,0.0035217467864060575
300,0.0021614945190674695,0.001020543994320451,0.0018957129479478336,0.0016197863128056568,0.0014083227330546975,0.0017608733932030288
350,0.0022129586742833615,0.0006101078226915739,0.0009135966014206427,0.0010279413138958977,0.000999454842813011,0.0021130480718436345
400,0.0008748906386701663,0.0005990149531880907,0.0011876755818468355,0.0015574868392362084,0.0007723060149009631,0.0005282620179609086
450,0.0007204981730224899,0.0005213648666637085,0.0008222369412785785,0.0008410428931875525,0.001226603670725059,0.0
